,accuracy,dprime
airplane1.png,0.8,2.881791869382365
airplane10.png,1.0,5.0
airplane2.png,0.0,-5.0
airplane3.png,1.0,5.0
airplane4.png,1.0,5.0
airplane5.png,1.0,5.0
airplane6.png,1.0,5.0
airplane7.png,1.0,5.0
airplane8.png,0.4,1.786823532673651
airplane9.png,1.0,5.0
bear1.png,0.8,2.5770399536628235
bear10.png,1.0,5.0
bear2.png,0.9,3.0169702856345095
bear3.png,0.0,-5.0
bear4.png,0.0,-5.0
bear5.png,1.0,5.0
bear6.png,0.0,-5.0
bear7.png,0.0,-5.0
bear8.png,0.0,-5.0
bear9.png,1.0,5.0
bicycle1.png,1.0,5.0
bicycle10.png,1.0,5.0
bicycle2.png,1.0,5.0
bicycle3.png,0.0,-5.0
bicycle4.png,1.0,5.0
bicycle5.png,1.0,5.0
bicycle6.png,1.0,5.0
bicycle7.png,1.0,5.0
bicycle8.png,0.9,3.560558271581623
bicycle9.png,1.0,5.0
bird1.png,0.0,-5.0
bird10.png,0.0,-5.0
bird2.png,0.0,-5.0
bird3.png,0.0,-5.0
bird4.png,0.0,-5.0
bird5.png,0.4,1.735965887747524
bird6.png,0.0,-5.0
bird7.png,0.0,-5.0
bird8.png,1.0,5.0
bird9.png,1.0,5.0
boat1.png,1.0,5.0
boat10.png,0.0,-5.0
boat2.png,0.7,2.7033780987692912
boat3.png,0.0,-5.0
boat4.png,1.0,5.0
boat5.png,0.0,-5.0
boat6.png,1.0,5.0
boat7.png,0.0,-5.0
boat8.png,1.0,5.0
boat9.png,0.0,-5.0
bottle1.png,1.0,5.0
bottle10.png,1.0,5.0
bottle2.png,1.0,5.0
bottle3.png,1.0,5.0
bottle4.png,1.0,5.0
bottle5.png,1.0,5.0
bottle6.png,1.0,5.0
bottle7.png,1.0,5.0
bottle8.png,0.7,2.652445746893025
bottle9.png,1.0,5.0
car1.png,0.7,2.3320140703011667
car10.png,1.0,5.0
car2.png,1.0,5.0
car3.png,1.0,5.0
car4.png,1.0,5.0
car5.png,0.0,-5.0
car6.png,0.6,2.060960660728926
car7.png,0.3,1.2832130448850851
car8.png,1.0,5.0
car9.png,1.0,5.0
cat1.png,1.0,5.0
cat10.png,1.0,5.0
cat2.png,1.0,5.0
cat3.png,1.0,5.0
cat4.png,0.0,-5.0
cat5.png,1.0,5.0
cat6.png,1.0,5.0
cat7.png,0.9,3.0977930740238
cat8.png,0.0,-5.0
cat9.png,0.0,-5.0
chair1.png,1.0,5.0
chair10.png,1.0,5.0
chair2.png,1.0,5.0
chair3.png,0.9,4.159713304640084
chair4.png,1.0,5.0
chair5.png,0.0,-5.0
chair6.png,1.0,5.0
chair7.png,0.0,-5.0
chair8.png,1.0,5.0
chair9.png,0.0,-5.0
clock1.png,0.0,0.0
clock10.png,0.0,0.0
clock2.png,1.0,5.0
clock3.png,1.0,5.0
clock4.png,0.0,0.0
clock5.png,1.0,5.0
clock6.png,1.0,5.0
clock7.png,0.0,0.0
clock8.png,1.0,5.0
clock9.png,0.9,5.0
dog1.png,0.0,-5.0
dog10.png,0.9,2.9664923334165154
dog2.png,0.0,-5.0
dog3.png,0.9,2.9664923334165154
dog4.png,0.0,-5.0
dog5.png,1.0,5.0
dog6.png,0.7,2.2093412805799555
dog7.png,1.0,5.0
dog8.png,0.0,-5.0
dog9.png,1.0,5.0
elephant1.png,1.0,5.0
elephant10.png,0.2,0.9574968732650532
elephant2.png,0.8,2.6407393404108817
elephant3.png,1.0,5.0
elephant4.png,0.0,-5.0
elephant5.png,1.0,5.0
elephant6.png,0.8,2.6407393404108817
elephant7.png,1.0,5.0
elephant8.png,0.1,0.517566541293367
elephant9.png,0.6,2.052465209973767
keyboard1.png,1.0,5.0
keyboard10.png,1.0,5.0
keyboard2.png,1.0,5.0
keyboard3.png,0.0,-5.0
keyboard4.png,1.0,5.0
keyboard5.png,1.0,5.0
keyboard6.png,1.0,5.0
keyboard7.png,1.0,5.0
keyboard8.png,1.0,5.0
keyboard9.png,1.0,5.0
knife1.png,1.0,5.0
knife10.png,0.7,3.0778339429620667
knife2.png,1.0,5.0
knife3.png,1.0,5.0
knife4.png,1.0,5.0
knife5.png,0.0,-5.0
knife6.png,0.8,3.3950546638269405
knife7.png,0.0,-5.0
knife8.png,0.0,-5.0
knife9.png,1.0,5.0
oven1.png,0.8,2.9696664677578983
oven10.png,1.0,5.0
oven2.png,1.0,5.0
oven3.png,1.0,5.0
oven4.png,1.0,5.0
oven5.png,0.6,2.3813923373207837
oven6.png,0.9,3.4095967997295844
oven7.png,0.0,-5.0
oven8.png,0.5,2.128045234184984
oven9.png,0.0,-5.0
truck1.png,0.5,1.8250068211464032
truck10.png,1.0,5.0
truck2.png,1.0,5.0
truck3.png,1.0,5.0
truck4.png,1.0,5.0
truck5.png,1.0,5.0
truck6.png,0.0,-5.0
truck7.png,1.0,5.0
truck8.png,0.5,1.8250068211464032
truck9.png,1.0,5.0
